"001","002","003","004","005"
"Les Jardins Dorval - Strathallen-Électrobac","45.4449959","-73.7428003","  ","H9S 3H8"
"Écocentre Rivière-des-Prairies","45.6398378","-73.5600463"," 514-872-0384 ","H1E 7R3"
"Garage Municipal Saint-Constant","45.3631207","-73.5647789"," 450-638-2010 ","J5A 2A8"
"Technoparc St-Laurent - Morguard-Électrobac","45.4800683","-73.7625494","  ","H4S 2A9"
"Bureau en Gros - 19 440","45.6122467","-73.6872689"," 450-665-4790 ","H7E 0B8"
"Hôpital Cité de la Santé Laval-Électrobac","45.6033723","-73.7107649","  ","H7M 3L9"
"IGA Extra Alimentation C.C. Sévigny-Électrobac","45.6127302","-73.6985908","  ","H7E 0A4"
"Textil'Art","45.5778933","-73.7437587"," 450-682-7474 ","H7S 2E8"
"IGA Extra Bourgault & Sanzone inc-Électrobac","45.6478867","-73.576862","  ","H1E 6M3"
"Renaissance - Centre de don Place Vilamont","45.60678","-73.7156569"," 579-631-3161 ","H7M 5E2"
"Microsys TM","45.582752","-73.748988"," 450-506-0220 ","H7L 3M3"
"IGA Extra Marché d'alimentation Crevier inc.-Électrobac","45.5251698","-73.7835558","  ","H7X 3S9"
"Bureau en Gros - Ste-Dorothée","45.5335616","-73.7873491"," 450-689-6763 ","H7X 3S9"
"Accès Électronique DDO inc.","45.484171","-73.7939565"," 514-421-2755 ","H9B 1P7"
"Bureau en Gros - Des Sources","45.4831172","-73.7956149"," 514-684-1831 ","H9B 1Z6"
"Marché de l'ouest-Électrobac","45.485149","-73.8037634","  ","H9B 2R8"
"Dépôt Ville de Dollard-des-Ormeaux","45.4940646","-73.8062283","  ","H9B 2X9"
"Centre de Tri Mélimax inc.","45.353462","-73.6899849"," 450-699-6862 ","J6J 4Z2"
"Metro Plus Marché J.C. Messier Auteuil - Metro Groupe Messier-Électrobac","45.6196602","-73.7462754","  ","H7K 2J5"
"Renaissance - Centre de don des Laurentides","45.6212591","-73.7465654"," 450-628-1367 ","H7K 2J5"
"Terrapure Environnement, Installation de Chateauguay","45.3500548","-73.6954206"," 450-698-7524 ","J6J 4Z2"
"Renaissance - Librairie des Sources","45.5061082","-73.8191314"," 514-684-7691 ","H8Y 3C8"
"IGA Quintal Marché des Oiseaux-Électrobac","45.5930917","-73.7860625","  ","H7L 4T7"
"Centre Aquatique Pointe-Claire-Électrobac","45.4501878","-73.8141535","  ","H9R 0A7"
"IGA extra Alimentation Auteuil-Électrobac","45.6279494","-73.7528023","  ","H7K 2K2"
"Bureau en Gros - Châteauguay","45.3602316","-73.731095"," 450-691-0773 ","J6K 1C4"
"IGA Marché Drolet et Paquette-Électrobac","45.4625461","-73.823013","  ","H9R 0A2"
"Best Buy - Fairview Pointe-Claire","45.462834","-73.829128"," 514-782-2400 ","H9R 1C4"
"Microbytes - Pointe-Claire","45.4680016","-73.8311919"," 514-426-2586 ","H9R 5N8"
"Stil Informatique","45.5733593","-73.8180439"," 450-627-6764 ","H7P 5C9"
"Bazar Sainte-Rose","45.615241","-73.784636"," 450-625-5711 ","H7L 1L4"
"Bureau en Gros - Pointe-Claire","45.4632122","-73.8378248"," 514-694-5578 ","H9R 4S1"
"Renaissance - Centre de don Jolibourg - Ouest de Laval","45.52406","-73.852245"," 450-314-4831 ","H7Y 1Z8"
"Renaissance - Librairie Pierrefonds","45.4837073","-73.8600557"," 514-696-4961 ","H9H 4M5"
"Microbytes - Rosemère","45.625016","-73.803558"," 450-435-1414 ","J7A 2H3"
"Renaissance - Centre de don Beaconsfield","45.4320548","-73.8464024"," 514-426-4765 ","H9W 5Z6"
"Galeries Terrebonne - Westcliff-Électrobac","45.702913","-73.6466848","  ","J6W 3Z5"
"Metro Plus Leblanc Terrebonne-Électrobac","45.7074885","-73.624523","  ","J6W 5M9"
"Ecocentre Mercier","45.3272805","-73.7355664","  ","J6R 2A9"
"Garage municipal de Terrebonne","45.7099745","-73.6219817"," 450-961-2001 ","J6W 6B5"
"Metro Plus Kirkland-Électrobac","45.4615942","-73.8656051","  ","H9H 4M4"
"IGA Marché Montée Gagnon inc.-Électrobac","45.66516","-73.7623532","  ","J6Z 2L1"
"IGA Extra Alimentation E.F.Y. Caron inc.-Électrobac","45.459077","-73.864914","  ","H9H 4M2"
"Bureau en Gros - Rosemère","45.6293016","-73.812238"," 450-435-7121 ","J7A 2H7"
"Mides Photocopieur","45.7129249","-73.6244118"," 450-471-9941 ","J6W 4L1"
"DMIB","45.4732807","-73.871832"," 514-626-1520 ","H9H 1H1"
"Renaissance - Centre de don Île-Bizard","45.4944563","-73.8759666"," 514-626-8741 ","H9C 2H2"
"IGA Extra Épicerie Quintal et frères-Électrobac","45.552155","-73.867943","  ","H7R 3X2"
"Mini Écocentre Saint-Isidore","45.3064764","-73.7045701","  ","J0L 2A0"
"Best Buy - Place Rosemère","45.632589","-73.8170611"," 450-420-1464 ","J7A 3T2"
"Place Rosemère - Morguard-Électrobac","45.6306724","-73.8192093","  ","J7A 3T2"
"Bureau en Gros - Lachenaie","45.7179219","-73.5111735"," 450-657-9600 ","J6V 1N9"
"Écocentre Ormstown","45.1280673","-73.9975844","  ","J0S 1K0"
"Écocentre Saint-Zotique","45.232407","-74.2772823"," 450-267-9335 ","J0P 1Z0"
"Metro Plus Fordham-Électrobac","45.2533991","-74.2267334","  ","J0P 1Z0"
"Bureau en Gros - Valleyfield","45.2714242","-74.129373"," 450-373-7070 ","J6S 1E3"
"Boulevard Electronique Stéréo Plus - Valleyfield","45.2723596","-74.0996465"," 450-371-0931 ","J6S 2H9"
"Écocentre Salaberry-de-Valleyfield","45.2685274","-74.0824037"," 450-370-4770 #4865 ","J6S 5P7"
"Dépôt CRI Environnement","45.2976691","-74.2020797"," 450-763-5541 ","J0P 1B0"
"Écocentre Saint-Chrysostome","45.1070038","-73.772251"," 450-826-3911 ","J0S 1R0"
"Écocentre Beauharnois","45.3100316","-73.8867419","  ","J6N 1Y1"
"Écocentre Sainte-Martine","45.2429657","-73.8066692"," 450-427-3050 ","J0S 1V0"
"Écocentre Henry-Ford","45.3806518","-74.0361017","  ","J7V 0V8"
"Sonic Informatique inc.","45.366389","-73.9846212"," 514-646-1739 ","J7W 3Y3"
"IGA Extra Famille Viau-Électrobac","45.382004","-74.014368","  ","J7V 1Y3"
"Bureau en Gros - Vaudreuil","45.3920311","-74.0291083"," 450-455-3443 ","J7V 9L5"
"Legault Électronique","45.2612488","-73.7895621"," 450-427-2217 ","J0S 1V0"
"Best Buy - Vaudreuil","45.4019111","-74.0504182"," 450-455-8434 ","J7V 0H1"
"Informatique Commerciale du Suroît inc.","45.4179617","-74.1252379"," 450-424-1611 ","J7T 1Y1"
"Dépôt municipalité Sainte-Marthe","45.4076317","-74.3035322","  ","J0P 1W0"
"IGA Supermarché Don Quichotte-Électrobac","45.3868138","-73.9609896","  ","J7V 6L7"
"Bureau en Gros - Île-Perrot","45.3881994","-73.9649198"," 514-425-6720 ","J7V 4X4"
"Renaissance - Librairie Île Perrot","45.388288","-73.962464"," 514-901-0606 ","J7V 6L7"
"Écocentre Sainte-Anne-de-Bellevue","45.4070047","-73.9559011","  ","H9X 1N3"
"Hôtel de ville de Léry","45.3445736","-73.8064197","  ","J6N 1E8"
"Provigo Alimentation Francis Deroo-Électrobac","45.4173426","-73.9179281","  ","H9X 3A8"
"Garage des Travaux publics","45.4199031","-73.9108889"," 514-457-2877 ","H9X 2E7"
"Écocentre d'Oka","45.4715152","-74.070336"," 450-479-8336 ","J0N 1E0"
"Travaux public Beaconsfield","45.4288866","-73.8682341","  ","H9W 3C1"
"Écocentre Saint-Rémi","45.2614988","-73.6158635"," 450-454-3993 ","J0L 2L0"
"Papeterie St-Rémi","45.2621007","-73.6155323"," 450-454-6065 ","J0L 2L0"
"Centre de transbordement Pointe-Calumet","45.4989524","-73.9859006"," 450-473-5930 ","J0N 1G2"
"Hôtel de ville de Saint-Placide","45.5278687","-74.2069936"," 450-258-2305 ","J0V 2B0"
"Écocentre Saint-Joseph-du-Lac","45.518075","-73.9802939"," 450-623-1072 ","J0N 1M0"
"Garage municipale Sainte-Marthe-sur-le-Lac","45.532237","-73.932463"," 450-472-7310 ","J0N 1P0"
"Garage municipal Deux-Montagnes","45.5408587","-73.9103693"," 450-473-4688 ","J7R 7E9"
"N.G. Informatique","45.5593082","-73.9229023"," 450-491-6089 ","J7R 5V3"
"Bureau en Gros - St-Eustache","45.5783053","-73.918747"," 450-623-4543 ","J7R 1E3"
"Écocentre Saint-Eustache","45.5963692","-73.9221608"," 450-974-5171 ","J7P 0B4"
"Écocentre Secteur de Saint-Augustin","45.6366227","-73.9848789"," 450-475-2006 ","J7N 2K4"
"Écocentre Secteur de Sainte-Scholastique","45.6504156","-74.0957714"," 450-475-2006 ","J7N 2Y5"
"Tricentris - Lachute","45.6502858","-74.3017917"," 450-562-4488 ","J8H 2C5"
"Entreprise École Recypro","45.6523632","-74.3709551"," 450-562-7740 ","J8H 3R8"
"Bureau en Gros - Boisbriand","45.62446","-73.8525366"," 450-420-3537 ","J7H 0A2"
"Centre de multirecyclage","45.6345031","-73.8408837"," 450-434-1440 ","J7E 4N4"
"IGA Extra - Marche Saint-Canut inc.-Électrobac","45.7038628","-74.0900432","  ","J7N 0T4"
"Garage municipal de Grenville","45.6301794","-74.6011489"," 819-242-2146 ","J0V 1J0"
"Renaissance - Centre de don Blainville - Rive-Nord","45.676897","-73.8863359"," 450-818-5977 ","J7C 3M9"
"Écocentre de la Seigneurie","45.6732043","-73.8622513"," 450-434-5348 ","J7C 4N1"
"IGA Extra Saint-Janvier-Électrobac","45.6994273","-73.9216335","  ","J7J 1G9"
"Place du Centre - Westcliff-Électrobac","45.4268463","-75.7135844","  ","J8X 4B7"
"Place du portage 2-Électrobac","45.4284254","-75.7128606","  ","J8X 3X1"
"Place du portage 4-Électrobac","45.4250016","-75.7155083","  ","J8X 3X5"
"Les Galeries de Hull - Cominar-Électrobac","45.4417168","-75.7320389","  ","J8Y 3Y8"
"Services Informatiques Commtech","45.443308","-75.739675"," 819-775-9333 ","J8Y 1V9"
"Écocentre Carrière","45.4550646","-75.7308264"," 819-595-2002 ","J8Y 6S6"
"3R Québec inc.","45.4628363","-75.736806"," 819-635-8899 ","J8Z 1S7"
"Grands Frères Grandes Sœurs de l'Outaouais","45.462865","-75.7383546"," 819-962-4940 ","J8Z 1S7"
"Bureau en Gros - Hull","45.4367067","-75.7704775"," 819-770-2332 ","J9A 3G1"
"Best Buy - Gatineau","45.4781016","-75.6894011"," 819-966-2222 ","J8T 3R6"
"IGA extra Famille Plante-Électrobac","45.4724177","-75.7378533","  ","J8Z 1T3"
"IGA Extra des Grives-Électrobac","45.4320516","-75.7792416","  ","J9A 0C7"
"Evolutel","45.4720497","-75.7421201"," 819-770-7171 ","J8Z 2A7"
"Bureau en Gros - Gatineau","45.48316","-75.676909"," 819-246-9470 ","J8P 6M7"
"IGA Extra Famille Charles - IGA Famille Charles-Électrobac","45.487152","-75.7011335","  ","J8T 5T7"
"Microrama Informatique inc.","45.4801738","-75.6449856","  ","J8P 4X7"
"Ameublement Branchaud - Gatineau 1","45.4842573","-75.6296682"," 819-663-8557 ","J8P 7M4"
"IGA extra Alimentation Christian et Ginette St-Jacques-Électrobac","45.5042553","-75.675241","  ","J8R 2S8"
"IT Experts","45.4937503","-75.6296821"," 819-205-7001 ","J8P 8A9"
"Centre de services d'Aylmer","45.3950367","-75.8445208"," 866-299-2002 ","J9H 3M2"
"Écocentre de l'Aéroport","45.5087309","-75.5590968","  ","J8R 3X3"
"Écocentre Val-des-monts","45.6306268","-75.8163109"," 819-457-4086 ","J8N 4A6"
"IGA Famille Charles - IGA Famille Charles-Électrobac","45.5978903","-75.898567","  ","J9B 1P4"
"Informatique Infotech","45.5569432","-75.4345448"," 819-986-5265 ","J8M 2T6"
"Garage municipal de L'Ange-Gardien","45.5919574","-75.4303942"," 819-986-7470 ","J8L 0K8"
"Technopolis","45.5753265","-75.4069085"," 819-986-2816 ","J8L 3E6"
"Ameublement Branchaud - Gatineau 2","45.5893722","-75.4171836"," 819-281-2610 ","J8L 2G8"
"Maison Le Ricochet","45.6456316","-76.0149"," 819-456-4230 ","J0X 2W0"
"Écocentre Notre-Dame-de-la-Salette","45.7678306","-75.5831327"," 819-766-2533 ","J0X 2L0"
"Municipalité de Low","45.8095543","-75.9496988"," 819-422-3528 ","J0X 2C0"
"Ameublement Brandsource Desrochers","45.6058504","-75.1203767","  ","J0V 1S0"
"Écocentre Val-des-Bois","45.897514","-75.6108679","  ","J0X 3C0"
"Martin Crépeau Informatique","45.7270818","-75.0518361"," 819-983-1073 ","J0V 1W0"
"Garage municipal Ripon","45.779495","-75.1004089"," 819-983-2000 #2707 ","J0V 1V0"
"Municipalité de Montpellier","45.8547183","-75.1654491","  ","J0V 1M0"
"Garage municipal de Montebello","45.6493819","-74.9375464"," 819-743-2443 ","J0V 1L0"
"Garage municipal Fassett","45.646906","-74.867793"," 819-423-6943 ","J0V 1H0"
"Garage municipal Notre-Dame-de-la-Paix","45.8086919","-74.9689786"," 819-522-6610 ","J0V 1P0"
"Hôtel de ville de Chénéville","45.8832992","-75.0549631","  ","J0V 1E0"
"Écocentre Lac-Simon","45.9013542","-75.0787404"," 819-428-3906 ","J0V 1E0"
"PC Diamond Informatique","45.8956673","-74.9336773"," 819-426-3314 ","J0V 1N0"
"Informatique Sylvain Patry","46.093935","-76.0537016"," 819-463-0999 ","J0X 1W0"
"Écocentre Lac-des-Plages","45.9979032","-74.8877766"," 819-426-2391 ","J0T 1K0"
"Écocentre de Duhamel","46.1976371","-75.0921915","  ","J0V 1G0"
"Écocentre de Harrington","45.8215087","-74.5568876"," 819-687-2122 ","J8G 2T1"
"Écocentre d'Amherst","46.0216663","-74.739155"," 819-681-3372 ","J0T 2L0"
"Écocentre Mansfield-et-Pontefract","45.9324975","-76.7617543","  ","J0X 1R0"
"Écocentre d'Huberdeau","45.9935955","-74.637944"," 819-687-8321 ","J0T 1G0"
"Écocentre Wentworth-Nord","45.8472717","-74.4579993"," 450-226-2416 ","J0T 1Y0"
"Écocentre de La Vallée-de-la-Gatineau","46.376916","-75.9712769"," 855-506-2007 ","J9E 3P3"
"Écocentre de la Minerve","46.2554188","-74.9375738"," 819-274-2364 ","J0T 1S0"
"Écocentre Lac-des-Seize-Îles","45.9227991","-74.4672361"," 450-226-3117 ","J0T 2M0"
"Écocentre de matériaux secs de Tremblant","46.1158647","-74.5653064"," 819-425-8614 ","J8E 3A9"
"Site de transbordement de l'Isle-aux-Allumettes","45.866564","-77.0790754","  ","J0X 1M0"
"Écocentre Canton de Gore","45.766667","-74.25"," 450-562-2025 ","J0V 1K0"
"Écocentre de Saint-Adolphe-d'Howard","45.9571526","-74.3247985","  ","J0T 2B0"
"Écocentre RIDL","46.5407118","-75.4816123","  ","J9L 3V6"
"Electro-Meubles Denis","46.397857","-74.864405"," 819-275-2584 ","J0T 1T0"
"GLC Audio Vidéo","46.5496671","-75.5063526"," 819-623-7414 ","J9L 1R3"
"Écocentre Saint-Colomban","45.741142","-74.139034"," 450-569-0451 ","J5K 2J1"
"Bureautech Laurentides inc.","46.550695","-75.504129"," 819-623-9663 ","J9L 1R8"
"Écocentre Lac Supérieur","46.1763265","-74.4711601"," 819-688-3365 ","J0T 1J0"
"Écocentre de la Rivière-Rouge","46.412958","-74.8735989","  ","J0T 1T0"
"Écocentre Saint-Sauveur","45.8945347","-74.1996787"," 450-227-2451 ","J0R 1R2"
"Stéréo Plus Ste-Agathe","46.0451533","-74.2785595"," 819-323-4417 #206 ","J8C 1K5"
"Metro Plus Ste-Agathe-Électrobac","46.0441127","-74.2646976","  ","J8C 1L6"
"Bureau en Gros - Ste-Agathe-des-Monts","46.0427073","-74.2619705"," 819-321-0550 ","J8C 1L8"
"Écocentre de Sainte-Agathe-des-Monts","46.041321","-74.252895","  ","J8C 1M2"
"Écocentre Secteur de Saint-Canut","45.7335796","-74.047564"," 450-475-2006 ","J7N 2Z8"
"Écocentre de Ste-Lucie des Laurentides","46.1238213","-74.2926278"," 819-326-3198 ","J0T 2J0"
"Écocentre Sainte-Adèle","45.9373761","-74.1267887"," 450-229-4984 ","J8B 1C9"
"Écocentre de Val-des-Lacs","46.1853453","-74.3426258"," 819-326-5624 ","J0T 2P0"
"Best Buy - Saint-Jérôme","45.7568015","-74.0205338"," 450-710-2037 ","J7Y 5K8"
"Écocentre Prévost","45.8671381","-74.0705376"," 450-569-0451 ","J5L 2S2"
"Équipement de bureau Robert Légaré","45.7780713","-74.0237501"," 450-438-3894 ","J7Y 4B5"
"Bureau en Gros - Saint-Jérôme","45.7689257","-74.019363"," 450-436-3708 ","J7Y 4Y7"
"IGA Extra Chaumont et Bilodeau-Électrobac","45.7609788","-74.0152618","  ","J7Y 3P2"
"Écocentre Saint-Jérôme","45.7873231","-74.0208384"," 450-569-0451 ","J7Y 3P2"
"Carrefour du Nord - Westcliff-Électrobac","45.7939258","-74.0181148","  ","J7Y 3S7"
"Écocentre de lantier","46.1493265","-74.2518698"," 819-326-2674 ","J0T 1V0"
"P.V. Informatique","45.7649462","-73.9808695"," 450-560-9260 ","J7Z 7M4"
"IGA Extra Famille Jean Martin-Électrobac","45.7689725","-73.9725552","  ","J7Z 7M2"
"Écocentre Sainte-Sophie","45.8380312","-73.9999366"," 450-569-0451 ","J5J 2R7"
"Écocentre Secteur de Saint-Janvier","45.7152564","-73.9391609"," 450-475-2006 ","J7J 1X2"
"Écocentre Saint-Hippolyte","45.922856","-74.016438"," 450-569-0451 ","J8A 1A1"
"Écocentre Sainte-Marguerite-du-Lac-Masson","46.0362198","-74.0650125"," 450-228-2444 ","J0T 1L0"
"Encre à Rabais.com","46.3177701","-74.2205446"," 819-341-0911 ","J8E 1X5"
"De tout pour tout.com","45.6831479","-73.7842415"," 514-574-2876 ","J6Y 2A4"
"Écocentre Saint-Donat","46.3086866","-74.2065292"," 819-424-1244 ","J0T 2C0"
"Garage municipal d'Entrelacs","46.102443","-73.999663"," 450-228-4445 ","J0T 2E0"
"Écocentre Bois-des-Filion","45.6783845","-73.7649733","  ","J6Z 4T7"
"Garage municipal de Notre-Dame-de-la-Merci","46.2334785","-74.0680218"," 800-230-8293 ","J0T 2A0"
"Centre Sportif Terrebonne-Électrobac","45.7204145","-73.7071294","  ","J6X 4J9"
"Écocentre de Chertsey","46.0872405","-73.8839984","  ","J0K 3K0"
"Micro en gros","45.7237764","-73.6645988"," 450-964-5539 ","J6X 4H3"
"Byte Mobile","45.7158571","-73.6550118"," 450-961-3280 ","J6X 4H9"
"Marco Michaud Informatique","48.1046514","-77.7973547"," 819-824-3926 ","J9P 4B2"
"Écocentre de Val-d'Or","48.0991761","-77.7668458"," 819-825-7733 ","J9P 7B4"
"Carrefour du Nord-Ouest-Électrobac","48.0960195","-77.8265716","  ","J9P 5K1"
"Stéréo Plus Val d'Or","48.097036","-77.8303523"," 819-874-7997 ","J9P 7A9"
"Écocentre de Malartic","48.0923822","-78.1414554"," 819-825-7733 ","J0Y 1Z0"
"Écocentre Barraute","48.436553","-77.631034","  ","J0Y 1A0"
"Écocentre de Senneterre","48.3744727","-77.1690245"," 819-825-7733 ","J0Y 2M0"
"Écocentre Amos","48.5648155","-78.1130337","  ","J9T 2G1"
"Écocentre de Trécesson","48.6653497","-78.3614944"," 819-732-8524 ","J0Y 2S0"
"Écocentre Rouyn-Noranda (Multitech)","48.285527","-78.88441"," 819-762-6282 ","J9X 6J2"
"Garage municipal de Taschereau","48.6599356","-78.6828783"," 819-796-2219 ","J0Z 3N0"
"IGA Extra Marché Bélanger-Électrobac","48.2253883","-79.0071946","  ","J9X 4B9"
"Écocentre Arthur-Gagnon","48.2592935","-79.0078133"," 819-797-7114 ","J9X 7C1"
"Terrapure Environnement, Installation de Rouyn-Noranda","48.2591744","-79.0157368"," 819-762-5151 ","J9X 7B9"
"Vert Vert PC Consultants Informatique","48.2400623","-79.0217965"," 819-917-2001 ","J9X 4P6"
"Bureau en Gros - Rouyn-Noranda","48.2423739","-79.0231209"," 819-797-1733 ","J9X 6H7"
"Maison des jeunes Lebel-sur-Quévillon","49.052081","-76.9830088"," 819-755-4868 ","J0Y 1X0"
"Centre de valorisation des matières résiduelles","48.781208","-79.170994","  ","J9Z 2X2"
"Écocentre Notre-Dame-du-Nord","47.5976901","-79.4819407"," 819-723-2294 ","J0Z 3B0"
"L'Intro Musique","47.3307285","-79.4414585"," 819-622-1328 ","J9V 2B6"
"Écocentre Saint-Édouard-de-Fabre","47.199652","-79.366541","  ","J0Z 1Z0"
"Lieu d'enfouissement en tranchée de Matagami","49.775651","-77.637778","  ","J0Y 2A0"
"Garage municipal Opitciwan","48.6580427","-74.9377152"," 819-974-8894 ","G0W 3B0"
"Garage municipal Manawan","47.222351","-74.3928745"," 819-971-8813 ","J0K 1M0"
"Écocentre Paul Ménard","49.782319","-74.8572159"," 418-770-6147 ","G0W 1H0"
"Garage municipal de Wemotaci","47.902662","-73.785575"," 819-666-2204 ","G0X 3R0"
"Entreprise Recyclage Ungava","49.910138","-74.38748"," 418-748-2511 ","G8P 1R4"
"Équipement de Bureau Ungava","49.9127508","-74.3639268"," 418-748-7722 ","G8P 1N8"
"Site de transbordement de St-Michel-des-Saints","46.68654","-73.9150069"," 450-833-6941 ","J0K 3B0"
"Poste de transbordement Saint-Zénon","46.5662505","-73.8161457","  ","J0K 3N0"
"Garage municipal Saint-Côme","46.2752655","-73.7687438"," 450-883-0216 ","J0K 2B0"
"Écocentre Ste-Émilie-de-l'Énergie","46.3212507","-73.6360728"," 450-886-3823 ","J0K 2K0"
"Écocentre Saint-Alphonse-Rodriguez","46.185619","-73.6916219","  ","J0K 1W0"
"Garage municipal Sainte-Béatrix","46.2196716","-73.6425083"," 450-883-2245 ","J0X 1Y0"
"A.M.C. Informatique enr.","46.2323054","-73.5295368"," 450-886-5252 ","J0K 2S0"
"Écocentre Rawdon","46.0344722","-73.6907934","  ","J0K 1S0"
"Écocentre Sainte-Marcelline-de-Kildare","46.1183403","-73.5970301"," 450-883-2241 ","J0K 2Y0"
"Écocentre Bon débarras","45.9861072","-73.7262248","  ","J0K 2T0"
"Services informatiques RS","46.0087882","-73.6533649"," 450-760-3999 ","J6E 4N1"
"Le Petit coin de l'informatique","46.1366826","-73.5106914"," 450-889-5137 ","J0K 3A0"
"Recyclage Frédérick Morin","46.2740235","-73.3514138"," 450-835-1444 ","J0K 2N0"
"InfoXtreme","46.167772","-73.4359849"," 450-889-7163 ","J0K 2M0"
"Écocentre Saint-Félix-de-Valois","46.1467431","-73.4279629"," 450-889-5589 ","J0K 2M0"
"Écocentre Normandin","48.8437431","-72.517454"," 418-669-0513 ","G8M 3Y2"
"IGA Marché Marc Desbiens-Électrobac","48.6516626","-72.4646299","  ","G8K 3J1"
"Écocentre Saint-Félicien","48.6394879","-72.4531462"," 418-669-0513 ","G8K 1W2"
"Centre hospitalier régional De Lanaudière-Électrobac","46.0392179","-73.4566748","  ","J6E 6J2"
"Villeneuve Audio Vidéo - Stéréo Plus Joliette","46.0385016","-73.4357447"," 450-755-1696 ","J6E 1V1"
"Bureau en Gros - Joliette","46.033807","-73.4318343"," 450-752-5515 ","J6E 2W4"
"Centre de tri EBI Environnement inc.","46.0070143","-73.4445172"," 450-759-9007 ","J6E 8S5"
"Garage municipal Sainte-Élisabeth","46.0954022","-73.3508161"," 450-759-2875 ","J0K 2J0"
"Hôtel de ville de Crabtree","45.9633768","-73.4727806"," 450-754-3434 ","J0K 1B0"
"Entreprises Pavco","45.8308735","-73.5983387","  ","J0K 3H0"
"Centre communautaire de l'Épiphanie-Électrobac","45.8518321","-73.48464","  ","J5X 2S7"
"Écocentre Roberval","48.5352681","-72.2591819"," 418-669-0513 ","G8K 1T6"
"Microbytes - Mascouche","45.7262012","-73.6195003"," 450-474-2404 ","J7K 3B5"
"Bureau en Gros - Mascouche","45.723556","-73.6197059"," 450-474-6555 ","J7K 3B4"
"Best Buy - Mascouche","45.7248449","-73.6144057"," 450-966-9343 ","J7K 3B4"
"Progitech DM","48.5241265","-72.2332135"," 418-275-3819 ","G8H 2B5"
"Écocentre Dolbeau-Mistassini","48.8662993","-72.2417265"," 418-669-0513 ","G8L 1V3"
"Écocentre Saint-François-de-Sales","48.3302668","-72.1617008"," 418-669-0513 ","G0W 2B0"
"Péga Informatique","48.8704306","-72.23354"," 418-276-2108 ","G8L 2V5"
"La Source - Dolbeau Mistassini","48.8784787","-72.2283884"," 418-276-5618 ","G8L 1H1"
"Best Buy - Lachenaie","45.7199588","-73.5094604"," 450-470-9636 ","J6V 1N9"
"Northern village of Kuujjuaq","58.1347299","-68.4467278"," 819-964-2943 ","J0M 1C0"
"Kangiqsujuaq Co-op","58.7101548","-65.9951159"," 819-338-3252 ","J0M 1K0"
"Kangirsuk Co-op","60.023415","-70.0262349"," 819-935-4382 ","J0M 1A0"
"Écocentre Fermont","52.8046561","-67.097287","  ","G0G 1J0"
"Bureau en Gros - Sept-Îles","50.2156786","-66.3788778"," 418-962-9898 ","G4R 1X8"
"Service Informatique Sept-Iles","50.2097332","-66.3748219"," 418-962-4067 ","G4R 2B2"
"Écocentre de Sept-Îles","50.228616","-66.392096","  ","G4R 5B8"
"LET de Sept-Îles","50.261779","-66.3280552","  ",""
"Ressource de Réinsertion le Phare","50.0347777","-66.846202","  ","G5B 1C9"
"Écocentre de Baie-Trinité","49.4789648","-67.3903785"," 418-589-6450 ","G0H 1A0"
"Écocentre Saint-Maxime du Mont-Louis","49.228719","-65.729544"," 418-797-2032 ","G0E 1T0"
"Écocentre Saint-Anne-des-Monts","49.1259919","-66.5606484"," 418-763-7797 ","G4V 1V2"
"Écocentre satellite de Godbout","49.3248436","-67.59703"," 418-589-6450 ","G0H 1G0"
"Garage municipal de Grande-Vallée","49.2222328","-65.1334819","  ","G0E 1K0"
"Garage municipal de Murdochville","48.9517053","-65.4942046","  ","G0E 1W0"
"Déchetterie de Cloridorme","49.1850021","-64.8545084","  ","G0E 1G0"
"Écocentre Longue-Pointe-de-Mingan","50.2654573","-64.1474413"," 418-538-2732 ","G0G 1V0"
"Promenades du St-Laurent - Immostar-Électrobac","48.8515813","-67.5077903","  ","G4W 4L6"
"Écocentre Baie-Comeau","49.2110048","-68.2315642"," 418-589-6450 ","G4Z 3B7"
"Distribution électronique F.C.","49.1930863","-68.2559427"," 418-589-8745 ","G5C 1L5"
"Écocentre de Matane","48.8213355","-67.5788709"," 418-562-5023 ","G4W 3M6"
"Audio Vidéo Amqui","48.6634357","-67.5968302"," 418-629-2400 ","G5J 3A5"
"Écocentre Havre-Saint-Pierre","50.252291","-63.60919"," 418-538-2732 ","G0G 1P0"
"Déchetterie de Rivière au Renard","48.9915164","-64.3760911"," 418-368-2104 ","G4X 5L4"
"Bureau municipal Val Brillant","48.5343176","-67.5491316","  ","G0J 3L0"
"LET de Gaspé","48.824857","-64.4973373","  ","G4X 2A5"
"Erso Informatique","48.8295325","-64.4838157"," 418-368-5434 ","G4X 1A4"
"Ressourcerie de la Matapédia","48.4659385","-67.430662"," 418-629-6777 ","G5J 2P5"
"Écocentre de Pessamit","48.941997","-68.6433319","  ","G0H 1B0"
"Écocentre La Mitis","48.6025027","-68.1935348"," 418-785-0055 ","G0J 2L0"
"Garage municipal de Maria","48.1724396","-65.9909569"," 418-759-3883 ","G0C 1Y0"
"Garage municipal de La Nouvelle","48.1390613","-66.3129068"," 418-794-2253 ","G0C 2E0"
"Garage municipal de New Richmond","48.1546976","-65.8473949"," 418-932-7060 ","G0C 2B0"
"Bureau municipal Colombier","48.8733863","-68.8465568"," 418-565-3343 ","G0H 1P0"
"Centre Hi-Fi Carleton","48.1031536","-66.1250257"," 418-364-3883 ","G0C 1J0"
